community	parCol	i	j	Niche_i	Niche_j	pctGrass_i	pctGrass_j	BM_i	BM_j	Rmax_i	Rmax_j	d13Cmean_i	d13Cmean_j	d13Csd_i	d13Csd_j	d15Nmean_i	d15Nmean_j	d15Nsd_i	d15Nsd_j	SEAi_mean	SEAj_mean	SEA_p_ilarger	SEA_p_jlarger	isunique	O	Oij	rho	Olap
Kruger_NB_2004_9	3	Aepyceros_melampus	Giraffa_camelopardalis	IM	BR	60	0.9	52.5	900	0.3086	0.1751	-18.58	-26.7089	0.9335	0.2699	5.245	5.9111	1.404	2.0692	4.4979	1.7591	0.9783	0.0218	1	0	0	0	0
Kruger_NB_2004_9	4	Aepyceros_melampus	Syncerus_caffer	IM	GR	60	90	52.5	580	0.3086	0.1647	-18.58	-15.112	0.9335	0.5786	5.245	5.172	1.404	0.7288	4.4979	1.4776	0.991	0.009	1	0.0316	0.0399	0.0684	0.183247185690603
Kruger_NB_2004_9	8	Equus_quagga	Giraffa_camelopardalis	GR	BR	90	0.9	276	900	0.1853	0.1751	-15.0088	-26.7089	0.3405	0.2699	4.6213	5.9111	0.6004	2.0692	0.5515	1.7591	0.011	0.989	1	0	0	0	0
Kruger_NB_2004_9	9	Equus_quagga	Syncerus_caffer	GR	GR	90	90	276	580	0.1853	0.1647	-15.0088	-15.112	0.3405	0.5786	4.6213	5.172	0.6004	0.7288	0.5515	1.4776	0.0233	0.9768	1	0.2616	0.7809	0.4637	0.420722659251681
Kruger_NB_2004_9	10	Giraffa_camelopardalis	Syncerus_caffer	BR	GR	0.9	90	900	580	0.1751	0.1647	-26.7089	-15.112	0.2699	0.5786	5.9111	5.172	2.0692	0.7288	1.7591	1.4776	0.641	0.359	1	0	0	0	0
Kruger_NB_2005_1	1	Aepyceros_melampus	Connochaetes_taurinus	IM	GR	60	87.5	52.5	180	0.3086	0.3073	-17.19	-15.1738	1.2654	0.7333	9.13	7.0488	2.3832	1.847	9.064	3.754	0.9685	0.0315	1	0.1586	0.2006	0.2978	1.75419601302407
Kruger_NB_2005_1	2	Aepyceros_melampus	Equus_quagga	IM	GR	60	90	52.5	276	0.3086	0.1853	-17.19	-15.375	1.2654	1.474	9.13	5.341	2.3832	0.9075	9.064	4.6329	0.928	0.072	1	0.1243	0.1716	0.233	1.51479251572242
Kruger_NB_2005_1	3	Aepyceros_melampus	Giraffa_camelopardalis	IM	BR	60	0.9	52.5	900	0.3086	0.1751	-17.19	-26.0833	1.2654	0.5462	9.13	4.27	2.3832	0.7398	9.064	1.4371	1	0	1	0	0	0	0
Kruger_NB_2005_1	4	Aepyceros_melampus	Syncerus_caffer	IM	GR	60	90	52.5	580	0.3086	0.1647	-17.19	-15.32	1.2654	0.7822	9.13	5.5633	2.3832	0.4969	9.064	1.1136	0.9998	0.0002	1	0.0382	0.0414	0.1143	0.374150765541705
Kruger_NB_2005_1	5	Connochaetes_taurinus	Equus_quagga	GR	GR	87.5	90	180	276	0.3073	0.1853	-15.1738	-15.375	0.7333	1.474	7.0488	5.341	1.847	0.9075	3.754	4.6329	0.3233	0.6768	1	0.2636	0.4794	0.4235	1.7497458939695
