community	parCol	i	j	Niche_i	Niche_j	pctGrass_i	pctGrass_j	BM_i	BM_j	Rmax_i	Rmax_j	d13Cmean_i	d13Cmean_j	d13Csd_i	d13Csd_j	d15Nmean_i	d15Nmean_j	d15Nsd_i	d15Nsd_j	SEAi_mean	SEAj_mean	SEA_p_ilarger	SEA_p_jlarger	isunique	O	Oij	rho	Olap
Kruger_NB_2004_11	7	Connochaetes_taurinus	Syncerus_caffer	GR	GR	87.5	90	180	580	0.3073	0.1647	-14.942	-15.691	0.9708	0.3499	6.448	3.554	1.5696	0.7774	4.7074	0.8457	0.9998	0.0002	1	0.0671	0.0734	0.1739	0.349305677100997
Kruger_NB_2004_11	8	Equus_quagga	Giraffa_camelopardalis	GR	BR	90	0.9	276	900	0.1853	0.1751	-13.807	-26.0563	0.3131	0.3507	3.658	4.025	0.5395	1.7815	0.544	2.1007	0.0035	0.9965	1	0	0	0	0
Kruger_NB_2004_11	9	Equus_quagga	Syncerus_caffer	GR	GR	90	90	276	580	0.1853	0.1647	-13.807	-15.691	0.3131	0.3499	3.658	3.554	0.5395	0.7774	0.544	0.8457	0.1675	0.8325	1	0.0155	0.0356	0.0287	0.021159970214508
Kruger_NB_2004_11	10	Giraffa_camelopardalis	Syncerus_caffer	BR	GR	0.9	90	900	580	0.1751	0.1647	-26.0563	-15.691	0.3507	0.3499	4.025	3.554	1.7815	0.7774	2.1007	0.8457	0.9663	0.0337	1	0	0	0	0
Kruger_NB_2004_12	1	Aepyceros_melampus	Connochaetes_taurinus	IM	GR	60	87.5	52.5	180	0.3086	0.3073	-17.69	-15.4433	1.5167	0.8514	6.849	7.455	2.4419	2.6651	9.4505	6.02	0.828	0.172	1	0.2413	0.3362	0.4023	3.00698988645029
Kruger_NB_2004_12	2	Aepyceros_melampus	Equus_quagga	IM	GR	60	90	52.5	276	0.3086	0.1853	-17.69	-14.492	1.5167	0.629	6.849	3.86	2.4419	0.6688	9.4505	1.0779	1	0	1	0.0028	0.003	0.0092	0.029166489536198
Kruger_NB_2004_12	3	Aepyceros_melampus	Giraffa_camelopardalis	IM	BR	60	0.9	52.5	900	0.3086	0.1751	-17.69	-26.1989	1.5167	0.8164	6.849	2.6944	2.4419	0.7506	9.4505	2.1455	0.9998	0.0002	1	0.0001	0.0001	0.0003	0.000784926849755
Kruger_NB_2004_12	4	Aepyceros_melampus	Syncerus_caffer	IM	GR	60	90	52.5	580	0.3086	0.1647	-17.69	-14.294	1.5167	0.2577	6.849	4.99	2.4419	0.6024	9.4505	0.4759	1	0	1	0.0034	0.0035	0.015	0.033812796958758
Kruger_NB_2004_12	5	Connochaetes_taurinus	Equus_quagga	GR	GR	87.5	90	180	276	0.3073	0.1853	-15.4433	-14.492	0.8514	0.629	7.455	3.86	2.6651	0.6688	6.02	1.0779	0.9998	0.0002	1	0.0362	0.0408	0.0966	0.248250220143622
Kruger_NB_2004_12	6	Connochaetes_taurinus	Giraffa_camelopardalis	GR	BR	87.5	0.9	180	900	0.3073	0.1751	-15.4433	-26.1989	0.8514	0.8164	7.455	2.6944	2.6651	0.7506	6.02	2.1455	0.9703	0.0298	1	0	0	0	0
Kruger_NB_2004_12	7	Connochaetes_taurinus	Syncerus_caffer	GR	GR	87.5	90	180	580	0.3073	0.1647	-15.4433	-14.294	0.8514	0.2577	7.455	4.99	2.6651	0.6024	6.02	0.4759	1	0	1	0.0206	0.0216	0.0779	0.130861659083648
Kruger_NB_2004_12	8	Equus_quagga	Giraffa_camelopardalis	GR	BR	90	0.9	276	900	0.1853	0.1751	-14.492	-26.1989	0.629	0.8164	3.86	2.6944	0.6688	0.7506	1.0779	2.1455	0.0703	0.9298	1	0	0	0	0
Kruger_NB_2004_12	9	Equus_quagga	Syncerus_caffer	GR	GR	90	90	276	580	0.1853	0.1647	-14.492	-14.294	0.629	0.2577	3.86	4.99	0.6688	0.6024	1.0779	0.4759	0.9643	0.0357	1	0.1873	0.2345	0.3412	0.245126209153982
Kruger_NB_2004_12	10	Giraffa_camelopardalis	Syncerus_caffer	BR	GR	0.9	90	900	580	0.1751	0.1647	-26.1989	-14.294	0.8164	0.2577	2.6944	4.99	0.7506	0.6024	2.1455	0.4759	0.9983	0.0018	1	0	0	0	0
Kruger_NB_2004_6	1	Aepyceros_melampus	Connochaetes_taurinus	IM	GR	60	87.5	52.5	180	0.3086	0.3073	-19.8508	-13.757	2.8058	0.4585	3.8575	5.562	1.9469	3.8104	18.6105	6.1088	0.9928	0.0072	1	0.0602	0.0758	0.1347	1.40416944338476
Kruger_NB_2004_6	2	Aepyceros_melampus	Equus_quagga	IM	GR	60	90	52.5	276	0.3086	0.1853	-19.8508	-13.588	2.8058	0.3463	3.8575	4.087	1.9469	2.6226	18.6105	3.1755	0.9998	0.0002	1	0.045	0.0503	0.1237	0.937557897062639
Kruger_NB_2004_6	3	Aepyceros_melampus	Giraffa_camelopardalis	IM	BR	60	0.9	52.5	900	0.3086	0.1751	-19.8508	-26.7967	2.8058	0.4512	3.8575	4.3033	1.9469	1.4909	18.6105	2.112	1	0	1	0.0296	0.0315	0.0971	0.59569209477723
Kruger_NB_2004_6	4	Aepyceros_melampus	Syncerus_caffer	IM	GR	60	90	52.5	580	0.3086	0.1647	-19.8508	-14.203	2.8058	0.3712	3.8575	3.47	1.9469	0.6852	18.6105	0.5885	1	0	1	0.0234	0.0235	0.1293	0.438581150292888
Kruger_NB_2004_6	5	Connochaetes_taurinus	Equus_quagga	GR	GR	87.5	90	180	276	0.3073	0.1853	-13.757	-13.588	0.4585	0.3463	5.562	4.087	3.8104	2.6226	6.1088	3.1755	0.9225	0.0775	1	0.404	0.4673	0.594	2.6713596038828
Kruger_NB_2004_6	6	Connochaetes_taurinus	Giraffa_camelopardalis	GR	BR	87.5	0.9	180	900	0.3073	0.1751	-13.757	-26.7967	0.4585	0.4512	5.562	4.3033	3.8104	1.4909	6.1088	2.112	0.9865	0.0135	1	0	0	0	0
